,문서 번호,리뷰 데이터,Token,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,2화 마지막 진짜 뒤지게 좋다..,['마지막'],0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
1,1,미쳤나... 환갑 넘어서도 재탕하고 있을거같음,"['환갑', '재탕']",10,0.5192,"[(0, 0.019230915), (1, 0.019230915), (2, 0.019230915), (3, 0.019230915), (4, 0.019230915), (5, 0.019230915), (6, 0.019230915), (7, 0.019230915), (8, 0.019230915), (9, 0.019230915), (10, 0.5192271), (11, 0.019230915), (12, 0.019230915), (13, 0.019230915), (14, 0.019230915), (15, 0.019230915), (16, 0.019230915), (17, 0.019230915), (18, 0.019230915), (19, 0.019230915), (20, 0.019230915), (21, 0.019230915), (22, 0.019230915), (23, 0.019230915), (24, 0.019230915), (25, 0.019230915)]"
2,2,최근에 이 정도로 설렜던 드라마가 없었다.,"['최근', '정도', '드라마']",9,0.5192,"[(0, 0.019230787), (1, 0.019230787), (2, 0.019230787), (3, 0.019230787), (4, 0.019230787), (5, 0.019230787), (6, 0.019230787), (7, 0.019230787), (8, 0.019230787), (9, 0.5192303), (10, 0.019230787), (11, 0.019230787), (12, 0.019230787), (13, 0.019230787), (14, 0.019230787), (15, 0.019230787), (16, 0.019230787), (17, 0.019230787), (18, 0.019230787), (19, 0.019230787), (20, 0.019230787), (21, 0.019230787), (22, 0.019230787), (23, 0.019230787), (24, 0.019230787), (25, 0.019230787)]"
3,3,"1화까지만 봤을 때: 볼만하긴 한데.. 다들 왤케 난리인거야? 걍 평범한 클리셰 아닌가?

2화 마지막 선재 시점 본 후: 미친…미친 드라마.. 미친… 이 미친…미친… 미친…. 그 비디오가 그래서… 그 사탕을 그래서.. 우산.. 사진….. 이런 미친…….

3화~10화: 고개 돌리고 몰래 웃는 선재 때문에 웃느라 조커가 돼. 설레서 벽 치려다 참고 이불만 죽어라 패서 이불 먼지털이범이 돼. 선재가 선재행동할때마다 월드컵 골 들어간 것처럼 소리 지르는 미친 여자가 돼. 진짜 골이었음 한국이 FIFA 1위가 돼. 타임리프보다 더 말이 안되는 어느 시간대로 가도 솔을 좋아하는 선재의 15년 순애에 정신 잃게 돼. 선재가 뛰면 내 심장도 뛰게 돼. 선재가 울면 나도 울게 돼. 선재가 살아야 나도 살게 돼. 선재와 하나가 돼.

11화 이후: 로코의 고질적 문제. 사귀면 재미없어짐. 근데 그걸 작가도 앎. 사람들 요구대로 꽁냥꽁냥만 넣으면 재밌을 것 같지만 사실 그렇지 않음.. 사귈랑말랑 둘 사이 간질간질 긴장감은 사라져 둘은 클리셰놀이동산데이트, 키스신 같은 것 밖에 찍을 것이 없다. 그래서 이미 ’사랑이 이뤄진다‘ 라는 정상에 올라 다음 목적지가 없는 남주여주를 떨어뜨리기 위해선 위기를 넣어야 하기 때문에 살인마, 기억 상실, 대화 안하고 서로 지킨답시고 오해 만들기 등 이런 무리수로 남주여주를 괴롭히고 나머지는 선재 아버지의 침질질 똥꼬쇼, 저질 개그같은 무리수로 분량 때우느라 늘어지는 내용됨. 한 번 헤어지고 재회엔딩 찍어야 하거든..ㅋ 로맨스 어렵다 어려워.. 하는 순간 13화 턱시도 선재 등장. 앞의 거지같은 내용부터 슬로우모션으로 허리 잡아주는 썩은 클리셰까지 싹 다 잊게 하는 용안. 이런 내가 싫다…

그래도 설레서 자지러지느라 죽을 것 같다 선재야.. 이 유니콘아.. 대놓고 여자들 망상하라고 만든 이 성물아.. 덕분에 몇주간 행복했다.. 선——멘——","['난리', '클리셰', '마지막', '선재', '시점', '드라마', '비디오', '사탕', '우산', '사진', '고개', '선재', '조커', '참고', '이불', '이불', '먼지털이', '선재', '선재', '행동', '월드컵', '소리', '여자', '한국', 'FIFA', '타임', '리프', '시간', '선재', '순애', '정신', '선재', '심장', '선재', '선재', '선재', '이후', '고질', '문제', '작가', '사람', '요구', '말랑', '사이', '긴장감', '클리', '셰놀', '이동산', '데이트', '키스', '사랑', '정상', '다음', '목적지', '남주', '여주', '위기', '살인마', '기억', '상실', '대화', '오해', '무리수', '남주', '여주', '나머지', '선재', '아버지', '침질', '저질', '개그', '무리수', '분량', '내용', '재회', '엔딩', '로맨스', '순간', '턱시도', '선재', '등장', '거지', '내용', '슬로우', '모션', '허리', '클리셰', '용안', '선재', '유니콘', '여자', '망상', '물아', '덕분', '행복']",4,0.9753,"[(4, 0.9753447)]"
4,4,"이 드라마를 보고서 나는 여전히 여자가 만든 남자를 사랑할 수 밖에 없음을 인정하게 됐다. 김혜윤보다 변우석이 스포트라이트를 받는 상황이 분하면서도, 임솔보다 류선재를 파고드는 내 자신의 모순이 조금은 우습기도 했다.

지금은 ‘노간지’로 분류되는, 싸이월드, 캔모아, 인터넷소설의 오글거리는 감성이 이 드라마의 백미다. 그리고 그 시절을 경험하지 않았더라면, 이 드라마를 백 퍼센트 즐길 수는 없을 것 같다. 선업튀는 어쩌면 만 30세 전후 일부 여성들의 학습된 욕망이 어떤 것인지 알 수 있는 시대적 사료다.","['드라마', '여자', '남자', '사랑', '인정', '김혜윤', '변우석', '스포트라이트', '상황', '류선', '자신', '모순', '간지로', '분류', '싸이월드', '인터넷', '소설', '감성', '드라마', '백미', '시절', '경험', '드라마', '선업', '전후', '일부', '여성', '학습', '욕망', '시대', '사료']",23,0.4796,"[(16, 0.18176933), (20, 0.27060547), (23, 0.4795763)]"
5,5,"변우석은 하이틴 그 잡채다
비슷한 하이틴물 많이 찍었는데
다 잘어울렸음

무언가 몽환적이고 신비하게 생겼다
안뜨는게 이상한 비쥬얼이지

넷플릭스 뭐하냐 상견니 이상갈 삘인데
얼른 사라","['변우석', '하이틴', '잡채', '하이틴', '몽환', '신비', '이상', '쥬얼', '넷플릭스', '상견', '이상', '사라']",1,0.8397,"[(1, 0.839743)]"
6,6,제목을 그랬나봐로 했어도 무죄,"['제목', '무죄']",18,0.5192,"[(0, 0.019230831), (1, 0.019230831), (2, 0.019230831), (3, 0.019230831), (4, 0.019230831), (5, 0.019230831), (6, 0.019230831), (7, 0.019230831), (8, 0.019230831), (9, 0.019230831), (10, 0.019230831), (11, 0.019230831), (12, 0.019230831), (13, 0.019230831), (14, 0.019230831), (15, 0.019230831), (16, 0.019230831), (17, 0.019230831), (18, 0.5192292), (19, 0.019230831), (20, 0.019230831), (21, 0.019230831), (22, 0.019230831), (23, 0.019230831), (24, 0.019230831), (25, 0.019230831)]"
7,7,김혜윤은 대단한 배우야… 상대를 빛나게 해줘,"['김혜윤', '배우', '상대']",5,0.5192,"[(0, 0.019230906), (1, 0.019230906), (2, 0.019230906), (3, 0.019230906), (4, 0.019230906), (5, 0.5192273), (6, 0.019230906), (7, 0.019230906), (8, 0.019230906), (9, 0.019230906), (10, 0.019230906), (11, 0.019230906), (12, 0.019230906), (13, 0.019230906), (14, 0.019230906), (15, 0.019230906), (16, 0.019230906), (17, 0.019230906), (18, 0.019230906), (19, 0.019230906), (20, 0.019230906), (21, 0.019230906), (22, 0.019230906), (23, 0.019230906), (24, 0.019230906), (25, 0.019230906)]"
8,8,2화 후반부 선재 시점 보고 그냥 별 5개 박아버림 남주가 여주를 이미 먼저 좋아하고 있던 거 내가 개ㅐㅐㅐㅐㅐ좋아하는 거잖아 한드 최애 드라마 각임😇😇😭😭 -2024. 4. 9,"['후반부', '선재', '시점', '남주', '여주', '한드', '최애', '드라마']",4,0.7198,"[(1, 0.14835002), (4, 0.71978015)]"
9,9,"기억은 사라지는것이 아니야 살면서 보고 듣고 느끼는 수만가지
기억들이 다 어디로 가겠니? 모두 내이영혼에 스미는거야
그래서 내머리로는 잊어도 내영혼은 잊지않고 다간직하고있지
긴 대사지만 뭔가 와닿는다
맞다 기억이라는건 머리로하는게 아니니깐
한편 한편보는내네 광대 승천했다가 슬펏다가 때론 뻔하지만
익숙한멜로가 좋은것 같다 예상되는 결말이어도 좋다
혜윤 주머니에 넣고 다니고싶당ㅜ","['기억', '가지', '기억', '내이', '영혼', '머리', '영혼', '간직', '대사', '기억', '머리', '한편', '한편', '광대', '승천', '멜로', '예상', '결말', '혜윤', '주머니']",3,0.9313,"[(3, 0.9313178)]"
